pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
135.0,-61.367677,90.0,top,C1,,,CP_Radial_D10.0mm_P5.00mm,470uF,tht,True
158.0,-62.5,90.0,top,C2,,,CP_Radial_Tantal_D5.5mm_P5.00mm,470p,tht,True
156.3,-74.0,180.0,top,C3,,,CP_Radial_D8.0mm_P3.80mm,100u,tht,True
132.96,-79.5,180.0,top,D1,,,LED_D3.0mm,LED,tht,True
133.0,-89.5,180.0,top,D2,,,LED_D3.0mm,LED,tht,True
133.0,-99.5,180.0,top,D3,,,LED_D3.0mm,LED,tht,True
133.0,-109.5,180.0,top,D4,,,LED_D3.0mm,LED,tht,True
135.1,-73.81,90.0,top,D5,,,Diode_Bridge_DIP-4_W7.62mm_P5.08mm,B40C800DM,tht,True
161.58,-67.0,180.0,top,D6,,,D_DO-41_SOD81_P10.16mm_Horizontal,1N5819,tht,True
133.0,-119.5,180.0,top,D7,,,LED_D3.0mm,LED,tht,True
133.0,-129.5,180.0,top,D8,,,LED_D3.0mm,LED,tht,True
121.42,-73.5,0.0,top,F1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,Fuse,tht,True
123.0,-79.5,-90.0,top,J7,,,"TerminalBlock_Phoenix_MKDS-1,5-12_1x12_P5.00mm_Horizontal",Screw_Terminal_01x12,tht,True
122.5,-62.96,-90.0,top,J8,,,TerminalBlock_bornier-2_P5.08mm,Screw_Terminal_01x02,tht,True
131.81,-84.5,0.0,top,JP1,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,SolderJumper_2_Open,tht,False
131.81,-94.5,0.0,top,JP2,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,SolderJumper_2_Open,tht,False
131.81,-104.5,0.0,top,JP3,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,SolderJumper_2_Open,tht,False
131.81,-124.5,0.0,top,JP4,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,SolderJumper_2_Open,tht,False
131.81,-114.5,0.0,top,JP5,,,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,SolderJumper_2_Open,tht,False
165.0,-54.92,-90.0,top,L1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,220u,tht,True
136.5,-85.12,90.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
168.69,-73.5,0.0,top,R10,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3k,tht,True
176.31,-78.5,180.0,top,R11,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1k,tht,True
136.5,-125.31,90.0,top,R12,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht,True
136.5,-136.0,90.0,top,R13,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
146.0,-125.5,90.0,top,R14,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
146.0,-136.0,90.0,top,R15,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
146.0,-85.0,90.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
136.5,-95.12,90.0,top,R3,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht,True
146.0,-95.12,90.0,top,R4,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
136.5,-105.12,90.0,top,R5,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10K,tht,True
146.0,-105.12,90.0,top,R6,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
136.5,-115.12,90.0,top,R7,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
146.0,-115.12,90.0,top,R8,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10k,tht,True
165.0,-77.81,90.0,top,R9,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,0.5,tht,True
162.07,-119.04,180.0,top,U1,,Package,MODULE_NODEMCU-32S,NODEMCU-32S,tht,True
142.5,-76.88,-90.0,top,U2,,,DIP-4_W7.62mm,EL817,tht,True
142.54,-87.5,-90.0,top,U3,,,DIP-4_W7.62mm,EL817,tht,True
142.54,-97.5,-90.0,top,U4,,,DIP-4_W7.62mm,EL817,tht,True
142.5,-107.7,-90.0,top,U5,,,DIP-4_W7.62mm,EL817,tht,True
142.54,-118.0,-90.0,top,U6,,,DIP-4_W7.62mm,EL817,tht,True
168.7,-61.2,0.0,top,U7,,,DIP-8_W7.62mm,MC34063AD,tht,True
142.5,-128.38,-90.0,top,U8,,,DIP-4_W7.62mm,EL817,tht,True
